"1" "2" "3" "4" "5" "6"
"3462224" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"1044611" 2.18733241382279e-10 3.54898335226438e-10 4.87065990905998e-10 3.35217206374513e-05 9.1067165597398e-10 7.69309303586349e-10
"174683" 2.37622725579675e-10 4.42563787705288e-10 7.31377107739497e-10 6.43809272037133e-05 1.02750471423074e-09 0.000278389616169302
"31235" 5.49960949167008e-10 6.61882906252546e-05 5.31160688054814e-09 0.00111854042486315 1.17422054689038e-09 1.21537709142794e-09
"296082" 3.12770636140127e-10 4.22688752705326e-05 1.63333016702322e-09 1.23210703868599e-09 8.57885002224762e-10 7.73331611191905e-10
"4372091" 2.73258075374914e-10 3.62102417387195e-10 7.93182745444707e-10 4.41750664167789e-05 8.94128271737133e-10 5.41351987788174e-05
"91688" 5.44853668541737e-10 6.38133494073258e-05 0.000725021384086265 3.3895147608357e-05 0.0003224367347718 9.30643408697672e-10
"950909" 0.000141045581645735 2.32769807909093e-09 0.0011461660998127 1.60530737740909e-09 0.000144308480437213 0.000163964746062723
"930301" 4.64913700703145e-10 1.81967545588632e-09 6.43587043964759e-05 0.00016019768737707 5.43446986657787e-09 2.92858596383582e-09
"12836" 8.0576283701297e-10 2.0488485382367e-06 0.000278252584233455 0.00013794152391012 5.9295868689268e-05 1.95604708587504e-09
"109193" 0.00434692801902705 0.000480563063534972 2.37959567835344e-05 5.20930403098336e-09 2.01919948580239e-09 3.69017137323903e-09
"173306" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"4405869" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"92262" 2.43085964812622e-10 3.74700410750861e-10 8.96821952497116e-09 0.000519568935067905 9.86784331579222e-10 1.38507850525196e-09
"92263" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"334340" 2.79375909066303e-10 3.60913076596472e-10 4.94714420783421e-10 7.72223878092853e-10 8.40047508661093e-10 0.000228961159982929
"667010" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
